asset_id,entity_type,entity_id,image_type,file_name,file_path,source_url,width_px,height_px,source_page,source_priority,alt_text,sort_order,active,notes
abs_all_star_standard_hero,variant,abs_all_star_standard,hero,abs-all-star-standard-hero.jpg,abs/abs-all-star-standard/abs-all-star-standard-hero.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/1-All-Star-Feature-Photo.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard front view,1,TRUE,
abs_all_star_standard_gallery_1,variant,abs_all_star_standard,gallery,abs-all-star-standard-gallery-1.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-1.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/2.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard gallery view 1,2,TRUE,
abs_all_star_standard_gallery_2,variant,abs_all_star_standard,gallery,abs-all-star-standard-gallery-2.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-2.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/3.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard gallery view 2,3,TRUE,
abs_all_star_standard_gallery_3,variant,abs_all_star_standard,gallery,abs-all-star-standard-gallery-3.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-3.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/7.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard gallery view 3,4,TRUE,
abs_all_star_standard_gallery_4,variant,abs_all_star_standard,gallery,abs-all-star-standard-gallery-4.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-4.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/8.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard gallery view 4,5,TRUE,
abs_all_star_standard_gallery_5,variant,abs_all_star_standard,gallery,abs-all-star-standard-gallery-5.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-5.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/9.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard gallery view 5,6,TRUE,
abs_all_star_standard_gallery_6,variant,abs_all_star_standard,gallery,abs-all-star-standard-gallery-6.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-6.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/10.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard gallery view 6,7,TRUE,
abs_all_star_standard_gallery_7,variant,abs_all_star_standard,gallery,abs-all-star-standard-gallery-7.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-7.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/12.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard gallery view 7,8,TRUE,
abs_all_star_standard_gallery_8,variant,abs_all_star_standard,gallery,abs-all-star-standard-gallery-8.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-8.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/13-1.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard gallery view 8,9,TRUE,
abs_all_star_standard_gallery_9,variant,abs_all_star_standard,gallery,abs-all-star-standard-gallery-9.jpg,abs/abs-all-star-standard/abs-all-star-standard-gallery-9.jpg,https://www.americanbarbecuesystems.com/wp-content/uploads/2019/06/14.jpg,1920,1440,https://www.americanbarbecuesystems.com/product/all-star/,manufacturer,ABS All-Star Standard gallery view 9,10,TRUE,
